Localidade da Escola,País,Região,UF,Município,Matrículas,Categoria 1,Categoria 1 - Ordenação,Categoria 2,Categoria 2 - Ordenação,Etapa de Ensino - Superior,Etapa de Ensino
Brasil,Brasil,,,,818814,Rural,2,Estadual,2,Educação Básica,Educação Básica
Brasil,Brasil,,,,50100,Rural,2,Federal,1,Educação Básica,Educação Básica
Brasil,Brasil,,,,4196212,Rural,2,Municipal,3,Educação Básica,Educação Básica
Brasil,Brasil,,,,99333,Rural,2,Privada,4,Educação Básica,Educação Básica
Brasil,Brasil,,,,13234036,Urbana,1,Estadual,2,Educação Básica,Educação Básica
Brasil,Brasil,,,,333422,Urbana,1,Federal,1,Educação Básica,Educação Básica
Brasil,Brasil,,,,18938506,Urbana,1,Municipal,3,Educação Básica,Educação Básica
Brasil,Brasil,,,,9418499,Urbana,1,Privada,4,Educação Básica,Educação Básica
Centro-Oeste,Brasil,Centro-Oeste,,,87732,Rural,2,Estadual,2,Educação Básica,Educação Básica
Centro-Oeste,Brasil,Centro-Oeste,,,7398,Rural,2,Federal,1,Educação Básica,Educação Básica
Centro-Oeste,Brasil,Centro-Oeste,,,126146,Rural,2,Municipal,3,Educação Básica,Educação Básica
Centro-Oeste,Brasil,Centro-Oeste,,,5006,Rural,2,Privada,4,Educação Básica,Educação Básica
Centro-Oeste,Brasil,Centro-Oeste,,,1381324,Urbana,1,Estadual,2,Educação Básica,Educação Básica
Centro-Oeste,Brasil,Centro-Oeste,,,29121,Urbana,1,Federal,1,Educação Básica,Educação Básica
Centro-Oeste,Brasil,Centro-Oeste,,,1404882,Urbana,1,Municipal,3,Educação Básica,Educação Básica
Centro-Oeste,Brasil,Centro-Oeste,,,716211,Urbana,1,Privada,4,Educação Básica,Educação Básica
Nordeste,Brasil,Nordeste,,,236088,Rural,2,Estadual,2,Educação Básica,Educação Básica
Nordeste,Brasil,Nordeste,,,17932,Rural,2,Federal,1,Educação Básica,Educação Básica
Nordeste,Brasil,Nordeste,,,2509135,Rural,2,Municipal,3,Educação Básica,Educação Básica
Nordeste,Brasil,Nordeste,,,52376,Rural,2,Privada,4,Educação Básica,Educação Básica
Nordeste,Brasil,Nordeste,,,2574221,Urbana,1,Estadual,2,Educação Básica,Educação Básica
Nordeste,Brasil,Nordeste,,,113319,Urbana,1,Federal,1,Educação Básica,Educação Básica
Nordeste,Brasil,Nordeste,,,5536613,Urbana,1,Municipal,3,Educação Básica,Educação Básica
Nordeste,Brasil,Nordeste,,,2435119,Urbana,1,Privada,4,Educação Básica,Educação Básica
Norte,Brasil,Norte,,,238410,Rural,2,Estadual,2,Educação Básica,Educação Básica
Norte,Brasil,Norte,,,4630,Rural,2,Federal,1,Educação Básica,Educação Básica
Norte,Brasil,Norte,,,904528,Rural,2,Municipal,3,Educação Básica,Educação Básica
Norte,Brasil,Norte,,,7442,Rural,2,Privada,4,Educação Básica,Educação Básica
Norte,Brasil,Norte,,,1330147,Urbana,1,Estadual,2,Educação Básica,Educação Básica
Norte,Brasil,Norte,,,37404,Urbana,1,Federal,1,Educação Básica,Educação Básica
Norte,Brasil,Norte,,,1781486,Urbana,1,Municipal,3,Educação Básica,Educação Básica
Norte,Brasil,Norte,,,473522,Urbana,1,Privada,4,Educação Básica,Educação Básica
Sudeste,Brasil,Sudeste,,,144928,Rural,2,Estadual,2,Educação Básica,Educação Básica
Sudeste,Brasil,Sudeste,,,14056,Rural,2,Federal,1,Educação Básica,Educação Básica
Sudeste,Brasil,Sudeste,,,409595,Rural,2,Municipal,3,Educação Básica,Educação Básica
Sudeste,Brasil,Sudeste,,,27752,Rural,2,Privada,4,Educação Básica,Educação Básica
Sudeste,Brasil,Sudeste,,,5918086,Urbana,1,Estadual,2,Educação Básica,Educação Básica
Sudeste,Brasil,Sudeste,,,101779,Urbana,1,Federal,1,Educação Básica,Educação Básica
Sudeste,Brasil,Sudeste,,,7465920,Urbana,1,Municipal,3,Educação Básica,Educação Básica
Sudeste,Brasil,Sudeste,,,4501098,Urbana,1,Privada,4,Educação Básica,Educação Básica
Sul,Brasil,Sul,,,111656,Rural,2,Estadual,2,Educação Básica,Educação Básica
Sul,Brasil,Sul,,,6084,Rural,2,Federal,1,Educação Básica,Educação Básica
Sul,Brasil,Sul,,,246808,Rural,2,Municipal,3,Educação Básica,Educação Básica
Sul,Brasil,Sul,,,6757,Rural,2,Privada,4,Educação Básica,Educação Básica
Sul,Brasil,Sul,,,2030258,Urbana,1,Estadual,2,Educação Básica,Educação Básica
Sul,Brasil,Sul,,,51799,Urbana,1,Federal,1,Educação Básica,Educação Básica
Sul,Brasil,Sul,,,2749605,Urbana,1,Municipal,3,Educação Básica,Educação Básica
Sul,Brasil,Sul,,,1292549,Urbana,1,Privada,4,Educação Básica,Educação Básica
