Localidade da Escola,País,Região,UF,Município,Matrículas,Categoria 1,Categoria 1 - Ordenação,Etapa de Ensino - Superior,Etapa de Ensino
Brasil,Brasil,,,,9000046,Privada,2,Educação Básica,Educação Básica
Brasil,Brasil,,,,38382028,Público,1,Educação Básica,Educação Básica
Centro-Oeste,Brasil,Centro-Oeste,,,670430,Privada,2,Educação Básica,Educação Básica
Centro-Oeste,Brasil,Centro-Oeste,,,2972521,Público,1,Educação Básica,Educação Básica
Nordeste,Brasil,Nordeste,,,2350697,Privada,2,Educação Básica,Educação Básica
Nordeste,Brasil,Nordeste,,,11416885,Público,1,Educação Básica,Educação Básica
Norte,Brasil,Norte,,,451961,Privada,2,Educação Básica,Educação Básica
Norte,Brasil,Norte,,,4360793,Público,1,Educação Básica,Educação Básica
Sudeste,Brasil,Sudeste,,,4329589,Privada,2,Educação Básica,Educação Básica
Sudeste,Brasil,Sudeste,,,14387494,Público,1,Educação Básica,Educação Básica
Sul,Brasil,Sul,,,1197369,Privada,2,Educação Básica,Educação Básica
Sul,Brasil,Sul,,,5244335,Público,1,Educação Básica,Educação Básica
