Localidade da Escola,País,Região,UF,Município,Matrículas,Categoria 1,Categoria 1 - Ordenação,Etapa de Ensino - Superior,Etapa de Ensino
Brasil,Brasil,,,,244617,Comunitária,2,Educação Básica,Educação Básica
Brasil,Brasil,,,,100537,Confessional,3,Educação Básica,Educação Básica
Brasil,Brasil,,,,1620857,Filantrópica,4,Educação Básica,Educação Básica
Brasil,Brasil,,,,7034035,Particular,1,Educação Básica,Educação Básica
Centro-Oeste,Brasil,Centro-Oeste,,,3280,Comunitária,2,Educação Básica,Educação Básica
Centro-Oeste,Brasil,Centro-Oeste,,,17302,Confessional,3,Educação Básica,Educação Básica
Centro-Oeste,Brasil,Centro-Oeste,,,134575,Filantrópica,4,Educação Básica,Educação Básica
Centro-Oeste,Brasil,Centro-Oeste,,,515273,Particular,1,Educação Básica,Educação Básica
Nordeste,Brasil,Nordeste,,,65492,Comunitária,2,Educação Básica,Educação Básica
Nordeste,Brasil,Nordeste,,,15136,Confessional,3,Educação Básica,Educação Básica
Nordeste,Brasil,Nordeste,,,191204,Filantrópica,4,Educação Básica,Educação Básica
Nordeste,Brasil,Nordeste,,,2078865,Particular,1,Educação Básica,Educação Básica
Norte,Brasil,Norte,,,7125,Comunitária,2,Educação Básica,Educação Básica
Norte,Brasil,Norte,,,6656,Confessional,3,Educação Básica,Educação Básica
Norte,Brasil,Norte,,,59281,Filantrópica,4,Educação Básica,Educação Básica
Norte,Brasil,Norte,,,378899,Particular,1,Educação Básica,Educação Básica
Sudeste,Brasil,Sudeste,,,127111,Comunitária,2,Educação Básica,Educação Básica
Sudeste,Brasil,Sudeste,,,40642,Confessional,3,Educação Básica,Educação Básica
Sudeste,Brasil,Sudeste,,,892980,Filantrópica,4,Educação Básica,Educação Básica
Sudeste,Brasil,Sudeste,,,3268856,Particular,1,Educação Básica,Educação Básica
Sul,Brasil,Sul,,,41609,Comunitária,2,Educação Básica,Educação Básica
Sul,Brasil,Sul,,,20801,Confessional,3,Educação Básica,Educação Básica
Sul,Brasil,Sul,,,342817,Filantrópica,4,Educação Básica,Educação Básica
Sul,Brasil,Sul,,,792142,Particular,1,Educação Básica,Educação Básica
