Localidade da Escola,País,Região,UF,Município,Matrículas,Categoria 1,Categoria 1 - Ordenação,Etapa de Ensino - Superior,Etapa de Ensino
Brasil,Brasil,,,,158418,Amarela,4,Educação Básica,Educação Básica
Brasil,Brasil,,,,15126703,Branca,1,Educação Básica,Educação Básica
Brasil,Brasil,,,,354115,Indígena,5,Educação Básica,Educação Básica
Brasil,Brasil,,,,13044620,Não declarada,10,Educação Básica,Educação Básica
Brasil,Brasil,,,,17106058,Parda,3,Educação Básica,Educação Básica
Brasil,Brasil,,,,1592160,Preta,2,Educação Básica,Educação Básica
Centro-Oeste,Brasil,Centro-Oeste,,,11985,Amarela,4,Educação Básica,Educação Básica
Centro-Oeste,Brasil,Centro-Oeste,,,834238,Branca,1,Educação Básica,Educação Básica
Centro-Oeste,Brasil,Centro-Oeste,,,50921,Indígena,5,Educação Básica,Educação Básica
Centro-Oeste,Brasil,Centro-Oeste,,,1469273,Não declarada,10,Educação Básica,Educação Básica
Centro-Oeste,Brasil,Centro-Oeste,,,1207329,Parda,3,Educação Básica,Educação Básica
Centro-Oeste,Brasil,Centro-Oeste,,,69205,Preta,2,Educação Básica,Educação Básica
Nordeste,Brasil,Nordeste,,,52803,Amarela,4,Educação Básica,Educação Básica
Nordeste,Brasil,Nordeste,,,1741018,Branca,1,Educação Básica,Educação Básica
Nordeste,Brasil,Nordeste,,,83674,Indígena,5,Educação Básica,Educação Básica
Nordeste,Brasil,Nordeste,,,4473795,Não declarada,10,Educação Básica,Educação Básica
Nordeste,Brasil,Nordeste,,,6906860,Parda,3,Educação Básica,Educação Básica
Nordeste,Brasil,Nordeste,,,509432,Preta,2,Educação Básica,Educação Básica
Norte,Brasil,Norte,,,10907,Amarela,4,Educação Básica,Educação Básica
Norte,Brasil,Norte,,,468179,Branca,1,Educação Básica,Educação Básica
Norte,Brasil,Norte,,,166586,Indígena,5,Educação Básica,Educação Básica
Norte,Brasil,Norte,,,1513415,Não declarada,10,Educação Básica,Educação Básica
Norte,Brasil,Norte,,,2567283,Parda,3,Educação Básica,Educação Básica
Norte,Brasil,Norte,,,86384,Preta,2,Educação Básica,Educação Básica
Sudeste,Brasil,Sudeste,,,63864,Amarela,4,Educação Básica,Educação Básica
Sudeste,Brasil,Sudeste,,,8042787,Branca,1,Educação Básica,Educação Básica
Sudeste,Brasil,Sudeste,,,29693,Indígena,5,Educação Básica,Educação Básica
Sudeste,Brasil,Sudeste,,,4201624,Não declarada,10,Educação Básica,Educação Básica
Sudeste,Brasil,Sudeste,,,5623347,Parda,3,Educação Básica,Educação Básica
Sudeste,Brasil,Sudeste,,,755768,Preta,2,Educação Básica,Educação Básica
Sul,Brasil,Sul,,,18859,Amarela,4,Educação Básica,Educação Básica
Sul,Brasil,Sul,,,4040481,Branca,1,Educação Básica,Educação Básica
Sul,Brasil,Sul,,,23241,Indígena,5,Educação Básica,Educação Básica
Sul,Brasil,Sul,,,1386513,Não declarada,10,Educação Básica,Educação Básica
Sul,Brasil,Sul,,,801239,Parda,3,Educação Básica,Educação Básica
Sul,Brasil,Sul,,,171371,Preta,2,Educação Básica,Educação Básica
