Localidade da Escola,País,Região,UF,Município,Matrículas,Categoria 1,Categoria 1 - Ordenação,Etapa de Ensino - Superior,Etapa de Ensino
Brasil,Brasil,,,,14761395,Estadual,2,Educação Básica,Educação Básica
Brasil,Brasil,,,,380605,Federal,1,Educação Básica,Educação Básica
Brasil,Brasil,,,,23240028,Municipal,3,Educação Básica,Educação Básica
Brasil,Brasil,,,,9000046,Privada,4,Educação Básica,Educação Básica
Centro-Oeste,Brasil,Centro-Oeste,,,1478001,Estadual,2,Educação Básica,Educação Básica
Centro-Oeste,Brasil,Centro-Oeste,,,33921,Federal,1,Educação Básica,Educação Básica
Centro-Oeste,Brasil,Centro-Oeste,,,1460599,Municipal,3,Educação Básica,Educação Básica
Centro-Oeste,Brasil,Centro-Oeste,,,670430,Privada,4,Educação Básica,Educação Básica
Nordeste,Brasil,Nordeste,,,2984453,Estadual,2,Educação Básica,Educação Básica
Nordeste,Brasil,Nordeste,,,128602,Federal,1,Educação Básica,Educação Básica
Nordeste,Brasil,Nordeste,,,8303830,Municipal,3,Educação Básica,Educação Básica
Nordeste,Brasil,Nordeste,,,2350697,Privada,4,Educação Básica,Educação Básica
Norte,Brasil,Norte,,,1632915,Estadual,2,Educação Básica,Educação Básica
Norte,Brasil,Norte,,,41733,Federal,1,Educação Básica,Educação Básica
Norte,Brasil,Norte,,,2686145,Municipal,3,Educação Básica,Educação Básica
Norte,Brasil,Norte,,,451961,Privada,4,Educação Básica,Educação Básica
Sudeste,Brasil,Sudeste,,,6395103,Estadual,2,Educação Básica,Educação Básica
Sudeste,Brasil,Sudeste,,,116067,Federal,1,Educação Básica,Educação Básica
Sudeste,Brasil,Sudeste,,,7876324,Municipal,3,Educação Básica,Educação Básica
Sudeste,Brasil,Sudeste,,,4329589,Privada,4,Educação Básica,Educação Básica
Sul,Brasil,Sul,,,2270923,Estadual,2,Educação Básica,Educação Básica
Sul,Brasil,Sul,,,60282,Federal,1,Educação Básica,Educação Básica
Sul,Brasil,Sul,,,2913130,Municipal,3,Educação Básica,Educação Básica
Sul,Brasil,Sul,,,1197369,Privada,4,Educação Básica,Educação Básica
