Localidade da Escola,País,Região,UF,Município,Matrículas,Categoria 1,Categoria 1 - Ordenação,Etapa de Ensino - Superior,Etapa de Ensino
Brasil,Brasil,,,,160929,Estadual,1,Educação Básica,Educação Básica
Brasil,Brasil,,,,72219,Estadual e Municipal,3,Educação Básica,Educação Básica
Brasil,Brasil,,,,937172,Municipal,2,Educação Básica,Educação Básica
Centro-Oeste,Brasil,Centro-Oeste,,,41865,Estadual,1,Educação Básica,Educação Básica
Centro-Oeste,Brasil,Centro-Oeste,,,12560,Estadual e Municipal,3,Educação Básica,Educação Básica
Centro-Oeste,Brasil,Centro-Oeste,,,35692,Municipal,2,Educação Básica,Educação Básica
Nordeste,Brasil,Nordeste,,,5650,Estadual,1,Educação Básica,Educação Básica
Nordeste,Brasil,Nordeste,,,1021,Estadual e Municipal,3,Educação Básica,Educação Básica
Nordeste,Brasil,Nordeste,,,131360,Municipal,2,Educação Básica,Educação Básica
Norte,Brasil,Norte,,,1007,Estadual,1,Educação Básica,Educação Básica
Norte,Brasil,Norte,,,1123,Estadual e Municipal,3,Educação Básica,Educação Básica
Norte,Brasil,Norte,,,14769,Municipal,2,Educação Básica,Educação Básica
Sudeste,Brasil,Sudeste,,,108515,Estadual,1,Educação Básica,Educação Básica
Sudeste,Brasil,Sudeste,,,12971,Estadual e Municipal,3,Educação Básica,Educação Básica
Sudeste,Brasil,Sudeste,,,607959,Municipal,2,Educação Básica,Educação Básica
Sul,Brasil,Sul,,,3892,Estadual,1,Educação Básica,Educação Básica
Sul,Brasil,Sul,,,44544,Estadual e Municipal,3,Educação Básica,Educação Básica
Sul,Brasil,Sul,,,147392,Municipal,2,Educação Básica,Educação Básica
