Localidade da Escola,País,Região,UF,Município,Matrículas,Categoria 1,Categoria 1 - Ordenação,Etapa de Ensino - Superior,Etapa de Ensino
Brasil,Brasil,,,,11264137,11 a 14 anos,8004,Educação Básica,Educação Básica
Brasil,Brasil,,,,8304843,15 a 17 anos,8005,Educação Básica,Educação Básica
Brasil,Brasil,,,,1592283,18 a 19 anos,8006,Educação Básica,Educação Básica
Brasil,Brasil,,,,1029189,20 a 24 anos,8007,Educação Básica,Educação Básica
Brasil,Brasil,,,,531956,25 a 29 anos,8008,Educação Básica,Educação Básica
Brasil,Brasil,,,,412501,30 a 34 anos,8009,Educação Básica,Educação Básica
Brasil,Brasil,,,,377719,35 a 39 anos,8010,Educação Básica,Educação Básica
Brasil,Brasil,,,,5003531,4 a 5 anos,8002,Educação Básica,Educação Básica
Brasil,Brasil,,,,1099569,40 anos ou mais,8011,Educação Básica,Educação Básica
Brasil,Brasil,,,,14111055,6 a 10 anos,8003,Educação Básica,Educação Básica
Brasil,Brasil,,,,3655291,Até 3 anos,8001,Educação Básica,Educação Básica
Centro-Oeste,Brasil,Centro-Oeste,,,902086,11 a 14 anos,8004,Educação Básica,Educação Básica
Centro-Oeste,Brasil,Centro-Oeste,,,641681,15 a 17 anos,8005,Educação Básica,Educação Básica
Centro-Oeste,Brasil,Centro-Oeste,,,104516,18 a 19 anos,8006,Educação Básica,Educação Básica
Centro-Oeste,Brasil,Centro-Oeste,,,56643,20 a 24 anos,8007,Educação Básica,Educação Básica
Centro-Oeste,Brasil,Centro-Oeste,,,31494,25 a 29 anos,8008,Educação Básica,Educação Básica
Centro-Oeste,Brasil,Centro-Oeste,,,24359,30 a 34 anos,8009,Educação Básica,Educação Básica
Centro-Oeste,Brasil,Centro-Oeste,,,21921,35 a 39 anos,8010,Educação Básica,Educação Básica
Centro-Oeste,Brasil,Centro-Oeste,,,398173,4 a 5 anos,8002,Educação Básica,Educação Básica
Centro-Oeste,Brasil,Centro-Oeste,,,48475,40 anos ou mais,8011,Educação Básica,Educação Básica
Centro-Oeste,Brasil,Centro-Oeste,,,1163525,6 a 10 anos,8003,Educação Básica,Educação Básica
Centro-Oeste,Brasil,Centro-Oeste,,,250078,Até 3 anos,8001,Educação Básica,Educação Básica
Nordeste,Brasil,Nordeste,,,3263006,11 a 14 anos,8004,Educação Básica,Educação Básica
Nordeste,Brasil,Nordeste,,,2322625,15 a 17 anos,8005,Educação Básica,Educação Básica
Nordeste,Brasil,Nordeste,,,544892,18 a 19 anos,8006,Educação Básica,Educação Básica
Nordeste,Brasil,Nordeste,,,381792,20 a 24 anos,8007,Educação Básica,Educação Básica
Nordeste,Brasil,Nordeste,,,182727,25 a 29 anos,8008,Educação Básica,Educação Básica
Nordeste,Brasil,Nordeste,,,148243,30 a 34 anos,8009,Educação Básica,Educação Básica
Nordeste,Brasil,Nordeste,,,150460,35 a 39 anos,8010,Educação Básica,Educação Básica
Nordeste,Brasil,Nordeste,,,1381125,4 a 5 anos,8002,Educação Básica,Educação Básica
Nordeste,Brasil,Nordeste,,,588566,40 anos ou mais,8011,Educação Básica,Educação Básica
Nordeste,Brasil,Nordeste,,,3905110,6 a 10 anos,8003,Educação Básica,Educação Básica
Nordeste,Brasil,Nordeste,,,899036,Até 3 anos,8001,Educação Básica,Educação Básica
