Localidade da Escola,País,Região,UF,Município,Matrículas,Categoria 1,Categoria 1 - Ordenação,Etapa de Ensino - Superior,Etapa de Ensino
Brasil,Brasil,,,,5346945,Rural,2,Educação Básica,Educação Básica
Brasil,Brasil,,,,42035129,Urbana,1,Educação Básica,Educação Básica
Centro-Oeste,Brasil,Centro-Oeste,,,234823,Rural,2,Educação Básica,Educação Básica
Centro-Oeste,Brasil,Centro-Oeste,,,3408128,Urbana,1,Educação Básica,Educação Básica
Nordeste,Brasil,Nordeste,,,2950215,Rural,2,Educação Básica,Educação Básica
Nordeste,Brasil,Nordeste,,,10817367,Urbana,1,Educação Básica,Educação Básica
Norte,Brasil,Norte,,,1173658,Rural,2,Educação Básica,Educação Básica
Norte,Brasil,Norte,,,3639096,Urbana,1,Educação Básica,Educação Básica
Sudeste,Brasil,Sudeste,,,610605,Rural,2,Educação Básica,Educação Básica
Sudeste,Brasil,Sudeste,,,18106478,Urbana,1,Educação Básica,Educação Básica
Sul,Brasil,Sul,,,377644,Rural,2,Educação Básica,Educação Básica
Sul,Brasil,Sul,,,6064060,Urbana,1,Educação Básica,Educação Básica
