Localidade da Escola,País,Região,UF,Município,Matrículas,Categoria 1,Categoria 1 - Ordenação,Etapa de Ensino - Superior,Etapa de Ensino
Brasil,Brasil,,,,542420,Educação a Distância - EAD,3,Educação Básica,Educação Básica
Brasil,Brasil,,,,46521321,Presencial,1,Educação Básica,Educação Básica
Brasil,Brasil,,,,318333,Semipresencial,2,Educação Básica,Educação Básica
Centro-Oeste,Brasil,Centro-Oeste,,,40022,Educação a Distância - EAD,3,Educação Básica,Educação Básica
Centro-Oeste,Brasil,Centro-Oeste,,,3601113,Presencial,1,Educação Básica,Educação Básica
Centro-Oeste,Brasil,Centro-Oeste,,,1816,Semipresencial,2,Educação Básica,Educação Básica
Nordeste,Brasil,Nordeste,,,81242,Educação a Distância - EAD,3,Educação Básica,Educação Básica
Nordeste,Brasil,Nordeste,,,13617133,Presencial,1,Educação Básica,Educação Básica
Nordeste,Brasil,Nordeste,,,69207,Semipresencial,2,Educação Básica,Educação Básica
Norte,Brasil,Norte,,,9301,Educação a Distância - EAD,3,Educação Básica,Educação Básica
Norte,Brasil,Norte,,,4786471,Presencial,1,Educação Básica,Educação Básica
Norte,Brasil,Norte,,,16982,Semipresencial,2,Educação Básica,Educação Básica
Sudeste,Brasil,Sudeste,,,294370,Educação a Distância - EAD,3,Educação Básica,Educação Básica
Sudeste,Brasil,Sudeste,,,18204060,Presencial,1,Educação Básica,Educação Básica
Sudeste,Brasil,Sudeste,,,218653,Semipresencial,2,Educação Básica,Educação Básica
Sul,Brasil,Sul,,,117485,Educação a Distância - EAD,3,Educação Básica,Educação Básica
Sul,Brasil,Sul,,,6312544,Presencial,1,Educação Básica,Educação Básica
Sul,Brasil,Sul,,,11675,Semipresencial,2,Educação Básica,Educação Básica
