Localidade da Escola,País,Região,UF,Município,Matrículas,Categoria 1,Categoria 1 - Ordenação,Etapa de Ensino - Superior,Etapa de Ensino
Brasil,Brasil,,,,23405178,Feminino,2,Educação Básica,Educação Básica
Brasil,Brasil,,,,23976896,Masculino,1,Educação Básica,Educação Básica
Centro-Oeste,Brasil,Centro-Oeste,,,1797092,Feminino,2,Educação Básica,Educação Básica
Centro-Oeste,Brasil,Centro-Oeste,,,1845859,Masculino,1,Educação Básica,Educação Básica
Nordeste,Brasil,Nordeste,,,6793174,Feminino,2,Educação Básica,Educação Básica
Nordeste,Brasil,Nordeste,,,6974408,Masculino,1,Educação Básica,Educação Básica
Norte,Brasil,Norte,,,2365448,Feminino,2,Educação Básica,Educação Básica
Norte,Brasil,Norte,,,2447306,Masculino,1,Educação Básica,Educação Básica
Sudeste,Brasil,Sudeste,,,9273545,Feminino,2,Educação Básica,Educação Básica
Sudeste,Brasil,Sudeste,,,9443538,Masculino,1,Educação Básica,Educação Básica
Sul,Brasil,Sul,,,3175919,Feminino,2,Educação Básica,Educação Básica
Sul,Brasil,Sul,,,3265785,Masculino,1,Educação Básica,Educação Básica
