Localidade da Escola,País,Região,UF,Município,Matrículas,Categoria 1,Categoria 1 - Ordenação,Etapa de Ensino - Superior,Etapa de Ensino
Brasil,Brasil,,,,7693533,Integral,1,Educação Básica,Educação Básica
Brasil,Brasil,,,,39688541,Parcial,0,Educação Básica,Educação Básica
Centro-Oeste,Brasil,Centro-Oeste,,,430788,Integral,1,Educação Básica,Educação Básica
Centro-Oeste,Brasil,Centro-Oeste,,,3212163,Parcial,0,Educação Básica,Educação Básica
Nordeste,Brasil,Nordeste,,,2416965,Integral,1,Educação Básica,Educação Básica
Nordeste,Brasil,Nordeste,,,11350617,Parcial,0,Educação Básica,Educação Básica
Norte,Brasil,Norte,,,362430,Integral,1,Educação Básica,Educação Básica
Norte,Brasil,Norte,,,4450324,Parcial,0,Educação Básica,Educação Básica
Sudeste,Brasil,Sudeste,,,3537844,Integral,1,Educação Básica,Educação Básica
Sudeste,Brasil,Sudeste,,,15179239,Parcial,0,Educação Básica,Educação Básica
Sul,Brasil,Sul,,,945506,Integral,1,Educação Básica,Educação Básica
Sul,Brasil,Sul,,,5496198,Parcial,0,Educação Básica,Educação Básica
